"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00650","Butanoate metabolism",12,-0.732193468278709,-1.93189521569639,0.0018478957726965,0.00763532709357169,0.00475317476113688,139,"tags=67%, list=21%, signal=54%","HMGCS1/HMGCL/ALDH5A1/ACSM2A/ACAT1/HMGCS2/ABAT/ACADS"
"hsa00260","Glycine, serine and threonine metabolism",12,-0.730267958917383,-1.92681475201556,0.00197040699188947,0.00763532709357169,0.00475317476113688,108,"tags=58%, list=16%, signal=50%","SHMT2/DLD/MAOA/GRHPR/MAOB/AGXT/SHMT1"
"hsa04936","Alcoholic liver disease",17,-0.660356427304554,-1.92496219422789,0.00195434110304817,0.00763532709357169,0.00475317476113688,107,"tags=65%, list=16%, signal=56%","ACADM/ACOX1/ALDH3A2/ACADVL/ADH6/FABP1/ADH1B/ADH1C/ALDH2/ADH7/ADH4"
"hsa01212","Fatty acid metabolism",19,-0.627470062967401,-1.90742376059685,0.0017630801026979,0.00763532709357169,0.00475317476113688,182,"tags=63%, list=28%, signal=47%","HACD3/ACADM/ACOX1/HSD17B8/ACAT1/ACADVL/ACAA1/ACSL1/ACADSB/HSD17B12/ACAA2/ACADS"
"hsa03040","Spliceosome",11,0.706451591413386,1.79048286452123,0.00381147825969517,0.014178699126066,0.00882658123297829,109,"tags=64%, list=17%, signal=54%","HNRNPA1/HSPA1A/HNRNPA3/HNRNPU/HNRNPC/PCBP1/DDX39B"
"hsa00983","Drug metabolism - other enzymes",18,-0.605798548739062,-1.81717043240324,0.0040308085209757,0.014220109330092,0.0088523600809854,22,"tags=39%, list=3%, signal=39%","UGT2B4/CES2/UGT2B10/MGST1/DPYS/UGT2B15/UGT2B7"
"hsa01240","Biosynthesis of cofactors",27,-0.543456229678888,-1.81464500340553,0.00412841883776864,0.014220109330092,0.0088523600809854,108,"tags=41%, list=16%, signal=36%","SHMT2/ALDH3A2/DLD/UGT2B4/ALDH2/UGP2/UGT2B10/HPD/UGT2B15/UGT2B7/SHMT1"
"hsa04146","Peroxisome",18,-0.600646529384893,-1.8017162896737,0.00442988602167678,0.0147135500005693,0.00915953876662493,184,"tags=61%, list=28%, signal=45%","ABCD3/ACOX1/SLC27A2/HMGCL/IDH2/CAT/BAAT/ACAA1/HAO1/ACSL1/AGXT"
"hsa05131","Shigellosis",21,0.550559770092316,1.68636423321389,0.00674876458100108,0.0216425898632103,0.0134730327388406,175,"tags=48%, list=27%, signal=36%","CAPNS1/TLN1/SKP1/ARPC3/VDAC1/ACTN1/PYCARD/ACTN4/VCL/MYL12A"
"hsa05169","Epstein-Barr virus infection",14,0.634623900537317,1.71643657186828,0.00804180044379855,0.0249295813757755,0.0155192640143481,188,"tags=64%, list=29%, signal=47%","PSMC1/PSMD8/PSMC3/PSMD11/ICAM1/BID/B2M/PSMC2/PSMD4"
"hsa05014","Amyotrophic lateral sclerosis",56,0.418012886907305,1.59026548072836,0.00848955823651516,0.0254686747095455,0.0158548625809282,190,"tags=41%, list=29%, signal=32%","HNRNPA1/HNRNPA3/PSMC1/TUBB2A/PSMD8/TUBB/PSMC3/UQCRC2/PSMD11/HNRNPA2B1/NDUFA8/TUBB4B/TUBA1B/COX6B1/BID/VDAC1/ALYREF/NDUFA5/SRSF3/PSMC2/CYC1/PSMD4/NDUFB10"
"hsa05203","Viral carcinogenesis",12,0.654605680605558,1.69377945870006,0.0128546786719888,0.0373589098904675,0.0232568199657693,161,"tags=58%, list=25%, signal=45%","SND1/PSMC1/YWHAZ/ACTN1/ACTN4/YWHAQ/YWHAG"
