ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0043228	non-membrane-bounded organelle	60	0.410307204830246	2.22894442685342	7.9804557849437E-05	0.00160451297459423	0.00111040203616935	82	tags=78%, list=54%, signal=59%	3837/3178/5518/3303/7520/4001/5725/3192/26986/6207/302/5358/3326/3183/8407/5049/2547/6741/8815/301/7094/908/829/7280/203068/10487/5702/6139/7430/55968/3608/3094/3181/6122/1936/2317/10383/10376/832/6500/3313/10970/6222/5093/6201/3176/10094
CC	GO:0043232	intracellular non-membrane-bounded organelle	60	0.410307204830246	2.22894442685342	7.9804557849437E-05	0.00160451297459423	0.00111040203616935	82	tags=78%, list=54%, signal=59%	3837/3178/5518/3303/7520/4001/5725/3192/26986/6207/302/5358/3326/3183/8407/5049/2547/6741/8815/301/7094/908/829/7280/203068/10487/5702/6139/7430/55968/3608/3094/3181/6122/1936/2317/10383/10376/832/6500/3313/10970/6222/5093/6201/3176/10094
BP	GO:0010558	negative regulation of macromolecule biosynthetic process	27	0.535528650310866	2.43510929865889	0.000100367666031115	0.00179776648654932	0.00124414298845182	39	tags=67%, list=26%, signal=60%	3178/10236/3303/7520/4001/5725/3192/26986/6207/2335/3326/3183/2547/27044/6741/8815/6050/301
BP	GO:0031327	negative regulation of cellular biosynthetic process	27	0.535528650310866	2.43510929865889	0.000100367666031115	0.00179776648654932	0.00124414298845182	39	tags=67%, list=26%, signal=60%	3178/10236/3303/7520/4001/5725/3192/26986/6207/2335/3326/3183/2547/27044/6741/8815/6050/301
MF	GO:0003676	nucleic acid binding	52	0.432997569827037	2.3061037314645	0.000107100982177406	0.00179776648654932	0.00124414298845182	37	tags=44%, list=25%, signal=51%	3837/3178/10236/3303/7520/4001/3069/5725/220988/3192/26986/6207/302/3326/10989/3183/2547/1933/27044/1983/5700/6741/8815
BP	GO:0009892	negative regulation of metabolic process	36	0.466509732081889	2.29491532190301	0.000104109443054205	0.00179776648654932	0.00124414298845182	39	tags=56%, list=26%, signal=54%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/6741/8815/6050/301
CC	GO:0031984	organelle subcompartment	20	-0.578486848915328	-2.31387111439756	0.00011248343138039	0.00180126553181864	0.00124656450018356	49	tags=85%, list=32%, signal=66%	10857/23011/2180/1727/950/92840/999/51552/54884/7365/4257/3242/7366/51635/1559/7364/1558
BP	GO:0019538	protein metabolic process	53	0.431237143291355	2.31345433088033	0.000114974395647998	0.00180126553181864	0.00124656450018356	65	tags=66%, list=43%, signal=58%	3178/10236/5518/3303/7520/5725/3192/26986/6207/2335/302/3326/826/2547/1933/1983/51303/5700/6741/301/908/5714/5702/5478/6139/7430/55968/629/7385/10525/5717/3094/6122/348/1936
BP	GO:0009890	negative regulation of biosynthetic process	28	0.515449667942782	2.35971641012834	0.000132347179215468	0.00200655400746032	0.00138863424032528	39	tags=64%, list=26%, signal=59%	3178/10236/3303/7520/4001/5725/3192/26986/6207/2335/3326/3183/2547/27044/6741/8815/6050/301
BP	GO:0010468	regulation of gene expression	42	0.429952033635727	2.21024125783193	0.000193611579721703	0.00284367007716251	0.00196795980703967	39	tags=50%, list=26%, signal=51%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/1983/6741/8815/6050/301
BP	GO:0044282	small molecule catabolic process	17	-0.596242855241075	-2.28455234969122	0.000222548984914873	0.0031696370578785	0.00219354501877818	47	tags=82%, list=31%, signal=64%	38/30/54363/217/3712/127/10449/2806/3242/229/189/35/383/6470
CC	GO:0098827	endoplasmic reticulum subcompartment	17	-0.585406788832148	-2.24303309162662	0.000301871124338997	0.00417292436586261	0.00288786926999226	53	tags=88%, list=35%, signal=65%	10857/23011/2180/1727/950/92840/54884/7365/4257/3242/7366/51635/1559/7364/1558
CC	GO:1990904	ribonucleoprotein complex	22	0.534359106253892	2.28932779442822	0.000383681764489748	0.0051522979802909	0.00356564406698743	35	tags=55%, list=23%, signal=49%	3178/10236/3303/7520/3069/220988/3192/26986/6207/3183/27044/6741
BP	GO:0010556	regulation of macromolecule biosynthetic process	43	0.427318722252085	2.20032766881338	0.00039544953634652	0.00516281339119068	0.00357292124944663	41	tags=51%, list=27%, signal=52%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/1983/6741/8815/6050/301/908
BP	GO:0043170	macromolecule metabolic process	72	0.380086403199747	2.15974428332105	0.00040703630667608	0.00517046119291237	0.00357821390506142	65	tags=60%, list=43%, signal=65%	3178/10236/5518/3303/7520/4001/5725/220988/3192/26986/6207/2335/302/3326/3183/826/2547/1933/27044/1983/51303/5700/6741/8815/6050/301/908/5714/5702/5478/6139/7430/55968/629/7385/10525/3608/5717/3094/3181/6122/348/1936
BP	GO:1901605	alpha-amino acid metabolic process	10	-0.709219858156028	-2.20962052356372	0.000462565064632482	0.00552752942251397	0.00382532271345312	52	tags=100%, list=34%, signal=70%	54363/3712/2806/3242/435/189/383/1373/6470
MF	GO:0003723	RNA binding	48	0.406834738404133	2.14243907561679	0.000491167168842166	0.00552752942251397	0.00382532271345312	35	tags=42%, list=23%, signal=47%	3837/3178/10236/3303/7520/3069/5725/220988/3192/26986/6207/302/3326/10989/3183/2547/27044/1983/5700/6741
CC	GO:0005634	nucleus	72	0.375609223080011	2.13430384638988	0.000481042071517552	0.00552752942251397	0.00382532271345312	65	tags=60%, list=43%, signal=65%	3837/1192/3178/10236/5518/10591/3303/7520/4001/3069/5725/220988/3192/26986/6207/302/3326/3183/5049/2547/27044/8836/5700/6741/8815/6050/301/7280/203068/5714/5702/5478/6139/7430/55968/7385/3608/5717/3094/3181/6122/348/1936
BP	GO:0006629	lipid metabolic process	29	-0.468351501375479	-2.12552545119949	0.000493949437756567	0.00552752942251397	0.00382532271345312	47	tags=72%, list=31%, signal=62%	4035/847/38/30/54363/2180/131/1727/3712/127/10449/54884/7365/2819/7366/51635/35/1373/1559/7364/1558
BP	GO:0009059	macromolecule biosynthetic process	58	0.372945630330973	2.02740899783299	0.000457525636969088	0.00552752942251397	0.00382532271345312	65	tags=62%, list=43%, signal=57%	3178/10236/5518/3303/7520/4001/5725/220988/3192/26986/6207/2335/302/3326/3183/2547/1933/27044/1983/51303/6741/8815/6050/301/908/5702/5478/6139/7430/10525/3608/3094/3181/6122/348/1936
BP	GO:0005975	carbohydrate metabolic process	10	-0.706027320976574	-2.19967396666344	0.000508362156939036	0.0055565165991011	0.00384538326791095	43	tags=90%, list=28%, signal=69%	217/950/7360/3795/5836/2203/2819/229/6514
BP	GO:0006520	amino acid metabolic process	11	-0.666137325757028	-2.15524268663116	0.000535840468169915	0.00572375045545136	0.00396111733647138	36	tags=91%, list=24%, signal=75%	38/54363/3712/2806/3242/435/189/383/1373/6470
BP	GO:0010629	negative regulation of gene expression	22	0.524259708519739	2.24605945358928	0.000556167944154167	0.00580886519449907	0.00402002092967573	39	tags=68%, list=26%, signal=59%	10236/3303/4001/5725/3192/26986/6207/2335/3326/3183/27044/6741/8815/6050/301
BP	GO:0006259	DNA metabolic process	11	0.669170812954839	2.2451900268748	0.000601864737912746	0.00614948753954327	0.00425574837563017	41	tags=82%, list=27%, signal=64%	3178/5518/7520/3192/3326/3183/2547/8815/908
BP	GO:0016070	RNA metabolic process	32	0.453125342825891	2.17754976363838	0.000640995642986638	0.00640995642986638	0.00443600568158726	64	tags=72%, list=42%, signal=53%	3178/10236/5518/3303/7520/5725/220988/3192/26986/6207/302/3183/2547/27044/6741/6050/5702/5478/7430/3608/3094/3181/348
BP	GO:0010817	regulation of hormone levels	13	-0.620703405480445	-2.15340531996525	0.000671084195549739	0.0065710327480912	0.00454747843036994	32	tags=69%, list=21%, signal=60%	127/54884/7365/7366/6514/51635/1559/7364/1558
BP	GO:0019219	regulation of nucleobase-containing compound metabolic process	30	0.452656973021156	2.11754656828159	0.000768511874842099	0.00737144043215891	0.00510139998552542	30	tags=47%, list=20%, signal=47%	3178/10236/5518/3303/7520/5725/3192/26986/6207/302/3326/3183/2547/27044
BP	GO:0051172	negative regulation of nitrogen compound metabolic process	26	0.488419083867529	2.20347125696396	0.000796828525917092	0.0073773972665547	0.00510552240843315	28	tags=50%, list=19%, signal=49%	3178/10236/5518/3303/7520/5725/3192/26986/6207/302/3326/3183/2547
BP	GO:0010467	gene expression	57	0.390275870939709	2.11357995571441	0.00080052608637083	0.0073773972665547	0.00510552240843315	89	tags=84%, list=59%, signal=56%	3178/10236/5518/3303/7520/4001/5725/220988/3192/26986/6207/2335/302/3326/3183/2547/1933/27044/1983/51303/6741/8815/6050/301/908/5702/5478/6139/7430/10525/3608/3094/3181/6122/348/1936/2192/3313/6222/81567/5093/6201/3068/4736/3329/6711/11140/307
BP	GO:0007010	cytoskeleton organization	26	0.484969419571715	2.18790831855088	0.000873170506168393	0.00774321014904046	0.00535868294748825	72	tags=81%, list=48%, signal=51%	3837/5518/3303/4001/3192/5358/8407/6050/301/7094/829/7280/203068/10487/7430/55968/348/2317/10383/10376/832
BP	GO:0051252	regulation of RNA metabolic process	27	0.479196235363776	2.17895944117892	0.000863113386836145	0.00774321014904046	0.00535868294748825	30	tags=48%, list=20%, signal=47%	3178/10236/5518/3303/7520/5725/3192/26986/6207/302/3183/2547/27044
MF	GO:0003729	mRNA binding	15	0.579050829192128	2.18103562972217	0.000918759110337335	0.00799660707145458	0.00553404610320149	24	tags=60%, list=16%, signal=56%	3178/10236/3069/5725/220988/3192/26986/6207/3183
BP	GO:0006091	generation of precursor metabolites and energy	15	-0.604840983032925	-2.25361989541374	0.000965538100566909	0.00825096195029904	0.00571007221196507	55	tags=87%, list=36%, signal=61%	847/38/217/131/22977/127/4129/7360/3795/5836/2203/2819/229
BP	GO:0022402	cell cycle process	11	0.649875853351338	2.18045192109962	0.0010459617559946	0.00877860759495467	0.00607522899628442	53	tags=91%, list=35%, signal=64%	3837/5518/3303/3192/27044/8815/301/203068/7430/55968
BP	GO:0097435	supramolecular fiber organization	16	0.554192872064689	2.14058343853804	0.00114368389360778	0.0094303759648361	0.0065262848222494	52	tags=75%, list=34%, signal=55%	3837/3178/3303/302/5358/3326/8407/6050/829/10487/80781/7430
BP	GO:0060255	regulation of macromolecule metabolic process	50	0.379205216364275	2.02034473244927	0.00119965140329497	0.00972131309566615	0.00672762765187199	41	tags=46%, list=27%, signal=50%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/1983/5700/6741/8815/6050/301/908
BP	GO:0007049	cell cycle	16	0.549617522206638	2.12291103850306	0.00125526046113082	0.00999953248697433	0.00692016917911549	53	tags=75%, list=35%, signal=54%	3837/5518/3303/3192/3326/27044/8815/301/7280/203068/7430/55968
CC	GO:1902494	catalytic complex	25	0.469546754165789	2.08829690456304	0.00130563678039599	0.0102274881131019	0.00707792570425195	62	tags=76%, list=41%, signal=54%	3178/10236/5518/7520/220988/3192/26986/3183/826/5049/2547/5700/5714/5702/629/7385/5717/3094/3181
BP	GO:0031326	regulation of cellular biosynthetic process	45	0.396966488469859	2.0630521342763	0.00135639587769	0.0104509190576115	0.0072325509267681	41	tags=49%, list=27%, signal=51%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/1983/6741/8815/6050/301/908
BP	GO:0042445	hormone metabolic process	11	-0.638469482644312	-2.06572523397112	0.00138993281298877	0.0105365874533019	0.00729183767764905	32	tags=73%, list=21%, signal=62%	127/54884/7365/7366/51635/1559/7364/1558
BP	GO:0016054	organic acid catabolic process	13	-0.596441480133138	-2.06923346162809	0.00144311613451992	0.0105978841128807	0.00733425798629369	52	tags=85%, list=34%, signal=61%	38/30/54363/3712/10449/2806/3242/189/35/383/6470
BP	GO:0046395	carboxylic acid catabolic process	13	-0.596441480133138	-2.06923346162809	0.00144311613451992	0.0105978841128807	0.00733425798629369	52	tags=85%, list=34%, signal=61%	38/30/54363/3712/10449/2806/3242/189/35/383/6470
BP	GO:0044255	cellular lipid metabolic process	22	-0.498158626250041	-2.0377292036618	0.00148935756670078	0.0107692008669133	0.00745281762122331	56	tags=77%, list=37%, signal=57%	4035/847/38/30/54363/2180/131/3712/127/10449/54884/2819/51635/35/1373/1559/1558
BP	GO:0031323	regulation of cellular metabolic process	55	0.362493990087127	1.97067480842046	0.00152800560898103	0.0108812520639558	0.00753036257057636	41	tags=45%, list=27%, signal=52%	3178/10236/5518/3303/7520/4001/5725/3192/26986/1645/6207/2335/302/3326/3183/826/5049/2547/27044/1983/6741/8815/6050/301/908
BP	GO:0009889	regulation of biosynthetic process	46	0.384859238492852	1.99336432469979	0.00157543756893899	0.0110515769761392	0.00764823580207618	41	tags=48%, list=27%, signal=50%	3178/10236/5518/3303/7520/4001/5725/3192/26986/6207/2335/302/3326/3183/2547/27044/1983/6741/8815/6050/301/908
BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	20	0.508192746737675	2.09224019824194	0.00167292652379773	0.0115628745027196	0.00800207888318111	28	tags=50%, list=19%, signal=47%	3178/10236/3303/7520/5725/3192/26986/302/3326/2547
BP	GO:0034655	nucleobase-containing compound catabolic process	12	0.602469770400727	2.10501673974546	0.00171339493965867	0.0116709510382547	0.00807687317093103	38	tags=75%, list=25%, signal=61%	10236/10591/3303/3192/26986/3183/27044/6741/6050
BP	GO:0051253	negative regulation of RNA metabolic process	12	0.597091203727177	2.0862241406145	0.00182104183477996	0.0122269951763797	0.00846168311198507	28	tags=67%, list=19%, signal=59%	3303/7520/5725/3192/26986/6207/3183/2547
BP	GO:0010604	positive regulation of macromolecule metabolic process	33	0.41512421147231	2.00703866338492	0.00230333886528703	0.0152474544603508	0.0105519897609147	52	tags=58%, list=34%, signal=48%	3178/10236/3303/7520/5725/3192/26986/2335/302/3326/3183/2547/5700/6741/301/908/5702/5478/7430
BP	GO:0016043	cellular component organization	63	0.345154157760232	1.90125195693864	0.00277015297833449	0.0180829430530168	0.0125142875775637	75	tags=68%, list=50%, signal=59%	3837/3178/5518/10591/3303/7520/4001/3192/2335/302/5358/3326/10989/3183/8407/2547/1983/8815/6050/301/7094/908/829/7280/203068/10493/10487/80781/5478/7430/55968/8775/5717/3181/348/2317/10383/3383/10376/832/6500/2192/3313
BP	GO:0045934	negative regulation of nucleobase-containing compound metabolic process	14	0.566217927042397	2.07442397343411	0.00310832357046404	0.0199545034128642	0.0138094995623181	28	tags=64%, list=19%, signal=58%	3178/3303/7520/5725/3192/26986/6207/3183/2547
BP	GO:0010557	positive regulation of macromolecule biosynthetic process	26	0.452693640946484	2.04229822089934	0.0031417728777701	0.0199545034128642	0.0138094995623181	41	tags=54%, list=27%, signal=47%	3178/3303/7520/5725/3192/26986/2335/302/3326/3183/2547/6741/301/908
BP	GO:1901700	response to oxygen-containing compound	28	-0.433108967429664	-1.95863260006557	0.0032426636182716	0.0203206920078354	0.0140629201129253	62	tags=71%, list=41%, signal=52%	7532/2/4035/847/1292/1293/2180/131/6382/127/999/4129/2806/3795/4257/2203/2819/6514/1373/6470
BP	GO:0048522	positive regulation of cellular process	52	0.353698974969298	1.88376698353686	0.00339225825117084	0.0209784391848723	0.0145181135680303	28	tags=35%, list=19%, signal=43%	1192/3178/10236/5518/10591/3303/7520/5725/3192/26986/1645/2335/302/3326/3183/826/5049/2547
BP	GO:0044270	cellular nitrogen compound catabolic process	13	0.566401688197266	2.02902921337069	0.00351066914498796	0.0214287597161603	0.0148297575639273	38	tags=69%, list=25%, signal=57%	10236/10591/3303/3192/26986/3183/27044/6741/6050
BP	GO:0019222	regulation of metabolic process	61	0.338616241211834	1.83252607718454	0.00389383647397268	0.0234628608047072	0.0162374557416674	41	tags=43%, list=27%, signal=52%	3178/10236/5518/3303/7520/4001/5725/3192/26986/1645/6207/2335/302/3326/3183/826/5049/2547/27044/1983/5700/6741/8815/6050/301/908
BP	GO:0051094	positive regulation of developmental process	11	0.601940565428278	2.01962029441077	0.00415178881859652	0.0240906264782761	0.0166719005191205	39	tags=73%, list=26%, signal=58%	1192/3303/7520/3192/2335/3326/2547/301
BP	GO:0031325	positive regulation of cellular metabolic process	35	0.391090626584144	1.91643639764726	0.00411941498932406	0.0240906264782761	0.0166719005191205	28	tags=40%, list=19%, signal=42%	3178/10236/3303/7520/5725/3192/26986/1645/2335/302/3326/3183/5049/2547
BP	GO:0071840	cellular component organization or biogenesis	67	0.327145984492045	1.8291938285198	0.00407389920449969	0.0240906264782761	0.0166719005191205	75	tags=66%, list=50%, signal=59%	3837/3178/5518/10591/3303/7520/4001/3192/6207/2335/302/5358/3326/10989/3183/8407/2547/1983/8815/6050/301/7094/908/829/7280/203068/10493/10487/80781/5478/7430/55968/8775/5717/3181/348/2317/10383/3383/10376/832/6500/2192/3313
BP	GO:1901615	organic hydroxy compound metabolic process	18	-0.512568845174341	-1.99286126414552	0.00459324834382888	0.0263271551414582	0.0182196885525433	47	tags=72%, list=31%, signal=56%	30/54363/217/131/1727/127/10449/4129/54884/2819/51635/1559/1558
BP	GO:0051246	regulation of protein metabolic process	30	0.40675770169108	1.9028280280083	0.00495146534158911	0.0279218522312729	0.0193232975127958	35	tags=47%, list=23%, signal=45%	10236/5518/3303/7520/5725/3192/26986/2335/302/3326/2547/1983/5700/6741
BP	GO:0009893	positive regulation of metabolic process	39	0.362626804273147	1.82749656334224	0.00499028848388707	0.0279218522312729	0.0193232975127958	41	tags=46%, list=27%, signal=45%	3178/10236/3303/7520/5725/3192/26986/1645/2335/302/3326/3183/5049/2547/5700/6741/301/908
MF	GO:0042802	identical protein binding	39	-0.37537353600209	-1.85734291214435	0.00599393236771605	0.0331429201509005	0.0229365337662447	39	tags=46%, list=26%, signal=46%	950/3712/9380/22977/6382/999/4129/7360/5836/3242/1000/435/1807/2203/2819/229/189/6470
BP	GO:0009057	macromolecule catabolic process	23	0.424890263929457	1.82684695256126	0.00615961787128628	0.0336630279012157	0.0232964739562725	53	tags=65%, list=35%, signal=50%	10236/3303/3192/26986/302/3326/3183/27044/5700/6741/6050/5714/5702/7430/55968
BP	GO:0070887	cellular response to chemical stimulus	42	-0.358536556198161	-1.80063131333685	0.0065653140456633	0.0354677885225489	0.0245454572306105	32	tags=36%, list=21%, signal=39%	127/999/10449/3672/4257/2203/2819/7366/6514/383/1373/1559/7364/6470/1558
BP	GO:0042221	response to chemical	55	-0.34008403160195	-1.83550855661339	0.00671218996739208	0.0358491964167531	0.0248094102861741	33	tags=35%, list=22%, signal=42%	6382/127/999/10449/4129/2806/3672/3795/4257/2203/2819/7366/6514/383/1373/1559/7364/6470/1558
BP	GO:0009891	positive regulation of biosynthetic process	27	0.419270741392704	1.90647144728545	0.00716430043890003	0.0366383341042895	0.0253555324484333	41	tags=52%, list=27%, signal=46%	3178/3303/7520/5725/3192/26986/2335/302/3326/3183/2547/6741/301/908
BP	GO:0031328	positive regulation of cellular biosynthetic process	27	0.419270741392704	1.90647144728545	0.00716430043890003	0.0366383341042895	0.0253555324484333	41	tags=52%, list=27%, signal=46%	3178/3303/7520/5725/3192/26986/2335/302/3326/3183/2547/6741/301/908
BP	GO:0050793	regulation of developmental process	22	0.443834032200657	1.90149578090532	0.00717175901615879	0.0366383341042895	0.0253555324484333	39	tags=55%, list=26%, signal=47%	1192/5518/3303/7520/5725/3192/2335/302/3326/2547/6050/301
BP	GO:0000278	mitotic cell cycle	12	0.536540651886643	1.87466178265524	0.00713886009196051	0.0366383341042895	0.0253555324484333	53	tags=75%, list=35%, signal=53%	3837/5518/3303/3192/8815/301/7280/203068/55968
BP	GO:0071466	cellular response to xenobiotic stimulus	10	-0.612171882737517	-1.9072612540241	0.00732521587749362	0.037019908198086	0.0256196005223037	15	tags=50%, list=10%, signal=48%	2203/7366/1559/7364/1558
BP	GO:0051248	negative regulation of protein metabolic process	15	0.501037307625197	1.88719221985267	0.00760943698708016	0.0380471849354008	0.0263305266406245	21	tags=47%, list=14%, signal=45%	10236/5518/3303/3192/26986/302/3326
CC	GO:0005654	nucleoplasm	39	0.353409576615949	1.7810453587744	0.00771221298880458	0.0381551589972437	0.0264052500115304	39	tags=44%, list=26%, signal=44%	3837/3178/10236/3303/7520/4001/5725/220988/3192/6207/3326/3183/2547/5700/8815/6050/301
MF	GO:0019904	protein domain specific binding	10	0.589071480700098	1.89924788129916	0.00860580769878174	0.0421326001919523	0.0291578352952145	52	tags=80%, list=34%, signal=56%	3837/3178/3303/3326/7094/908/203068/7430
BP	GO:0048518	positive regulation of biological process	56	0.326707816525351	1.75451385663774	0.00880164603090815	0.0426471508714106	0.0295139297184006	28	tags=32%, list=19%, signal=42%	1192/3178/10236/5518/10591/3303/7520/5725/3192/26986/1645/2335/302/3326/3183/826/5049/2547
CC	GO:0005694	chromosome	10	0.582985591940999	1.87962613468565	0.00963553873325942	0.0457444768144639	0.0316574318827981	37	tags=70%, list=25%, signal=57%	5518/7520/3192/3183/2547/6741/8815
BP	GO:0009410	response to xenobiotic stimulus	16	-0.490784917655513	-1.85351027334409	0.00955996588044954	0.0457444768144639	0.0316574318827981	15	tags=50%, list=10%, signal=50%	999/4129/2203/7366/1373/1559/7364/1558
